CANAL,CLASSIFICACAO_CANAL,CNPJ_PROGRAMADORA,CLASSIFICACAO_PROGRAMADORA,NR_IDENTIFICACAO,OFERTA_CLIENTE,DENSIDADE_CANAL,PAIS_PROGRAMADORA,TIPO_CONTEUDO_CANAL,NOME_PROGRAMADORA,DATA_INICIO_OFERTA
NORDESTE FC 6 - HD,canal de programação comum,29037988000145,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",4418130012,canal à la carte,ALTA DEFINIÇÃO,Brasil,canal de conteúdo esportivo,LIVEMODE SERVICOS DIGITAIS S.A.,2021-04-10
NORDESTE FC 6 - SD,canal de programação comum,29037988000145,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",4418130011,canal à la carte,PADRÃO,Brasil,canal de conteúdo esportivo,LIVEMODE SERVICOS DIGITAIS S.A.,2021-04-10
NORDESTE FC 7 - HD,canal de programação comum,29037988000145,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",4418130014,canal à la carte,ALTA DEFINIÇÃO,Brasil,canal de conteúdo esportivo,LIVEMODE SERVICOS DIGITAIS S.A.,2021-04-10
NORDESTE FC 7 - SD,canal de programação comum,29037988000145,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",4418130013,canal à la carte,PADRÃO,Brasil,canal de conteúdo esportivo,LIVEMODE SERVICOS DIGITAIS S.A.,2021-04-10
NOSSA TV HD,canal de programação comum,08626106000107,,4214930002,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,COMUNICACAO MOSSOROENSE LTDA,2019-05-07
NOSSA TV SD,canal de programação comum,08626106000107,,4214930001,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,COMUNICACAO MOSSOROENSE LTDA,2019-05-07
NOSSO FUTEBOL HD,canal de programação comum,41817089000160,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",5245830001,"canal ofertado em pacote, canal à la carte, pay-per-view",ALTA DEFINIÇÃO,Brasil,canal de conteúdo esportivo,TRINTA CONSULTORIA EM ESPORTES LTDA,2023-05-19
NOSSO FUTEBOL SD,canal de programação comum,41817089000160,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",5245830002,"canal ofertado em pacote, canal à la carte, pay-per-view",PADRÃO,Brasil,canal de conteúdo esportivo,TRINTA CONSULTORIA EM ESPORTES LTDA,2023-05-19
NOVA TV,canal de programação comum,13321125000165,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",3118830001,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,NOVIDADE TV LTDA ME,2016-08-31
NSPORTS,canal de programação comum,29764291000176,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",3927930001,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo esportivo,NSPORTS CONTEÚDO ESPORTIVO S.A.,2024-03-07
NSPORTS HD,canal de programação comum,29764291000176,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",3927930002,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo esportivo,NSPORTS CONTEÚDO ESPORTIVO S.A.,2024-03-07
O CANAL DO CARRO,canal de programação comum,07950180000111,,2487430001,canal ofertado em pacote,PADRÃO,Brasil,canal de televenda ou infomercial,SUPER CDMD COMÉRCIO DE VEÍCULOS AUTOMOTORES LTDA,2012-12-01
OFF,canal brasileiro de espaço qualificado,27865757000102,programadora brasileira independente,472730121,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
OFF (EM SD),canal brasileiro de espaço qualificado,27865757000102,programadora brasileira independente,472730015,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
OLATV,canal de programação comum,13934762000107,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",3694530001,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,CARLOS ALBERTO FREITAS MORENO DAS NEVES,2017-11-01
PARAMOUNT NETWORKS,canal de espaço qualificado,,programadora estrangeira,620930012,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo em geral,MTV NETWORKS LATIN AMERICA INC.,2014-11-14
PARAMOUNT NETWORKS HD,canal de espaço qualificado,,programadora estrangeira,620930013,canal ofertado em pacote,ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo em geral,MTV NETWORKS LATIN AMERICA INC.,2014-11-14
PLAYBOY HD,canal de programação comum,08844841000197,programadora brasileira de capital estrangeiro,1326330007,"canal à la carte, pay-per-view",ALTA DEFINIÇÃO,Brasil,canal de conteúdo erótico,PB BRASIL ENTRETENIMENTO S/A,2017-04-28
PLAYBOY TV,canal de programação comum,08844841000197,programadora brasileira de capital estrangeiro,1326330003,"canal à la carte, pay-per-view",PADRÃO,Brasil,canal de conteúdo erótico,PB BRASIL ENTRETENIMENTO S/A,2007-07-04
PLAYTV,canal brasileiro de espaço qualificado,07121705000106,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",493130001,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,PLAYTV TELEVISÃO LTDA,2008-10-21
PLAYTV HD,canal brasileiro de espaço qualificado,07121705000106,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",493130002,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,PLAYTV TELEVISÃO LTDA,2023-06-20
POLISHOPTV 1,canal de programação comum,00436042004752,,319030004,canal ofertado em pacote,PADRÃO,Brasil,canal de televenda ou infomercial,POLIMPORT - COMERCIO E EXPORTACAO LTDA,2021-08-01
POLISHOPTV 2,canal de programação comum,00436042004752,,319030001,canal ofertado em pacote,PADRÃO,Brasil,canal de televenda ou infomercial,POLIMPORT - COMERCIO E EXPORTACAO LTDA,2008-05-30
PREMIERE 10,canal de programação comum,27865757000102,programadora brasileira independente,472730116,"canal ofertado em pacote, canal à la carte, pay-per-view",PADRÃO,Brasil,canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
PREMIERE 11,canal de programação comum,27865757000102,programadora brasileira independente,472730117,"canal ofertado em pacote, canal à la carte, pay-per-view",PADRÃO,Brasil,canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
PREMIERE 12,canal de programação comum,27865757000102,programadora brasileira independente,472730118,"canal ofertado em pacote, canal à la carte, pay-per-view",PADRÃO,Brasil,canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
PREMIERE 2,canal de programação comum,27865757000102,programadora brasileira independente,472730101,"canal ofertado em pacote, canal à la carte, pay-per-view",PADRÃO,Brasil,canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
PREMIERE 2 HD,canal de programação comum,27865757000102,programadora brasileira independente,472730102,"canal ofertado em pacote, canal à la carte, pay-per-view",ALTA DEFINIÇÃO,Brasil,canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
PREMIERE 3,canal de programação comum,27865757000102,programadora brasileira independente,472730103,"canal ofertado em pacote, canal à la carte, pay-per-view",PADRÃO,Brasil,canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
PREMIERE 3 HD,canal de programação comum,27865757000102,programadora brasileira independente,472730104,"canal ofertado em pacote, canal à la carte, pay-per-view",ALTA DEFINIÇÃO,Brasil,canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
PREMIERE 4,canal de programação comum,27865757000102,programadora brasileira independente,472730105,"canal ofertado em pacote, canal à la carte, pay-per-view",PADRÃO,Brasil,canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
PREMIERE 4 HD,canal de programação comum,27865757000102,programadora brasileira independente,472730106,"canal ofertado em pacote, canal à la carte, pay-per-view",ALTA DEFINIÇÃO,Brasil,canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
PREMIERE 5,canal de programação comum,27865757000102,programadora brasileira independente,472730107,"canal ofertado em pacote, canal à la carte, pay-per-view",PADRÃO,Brasil,canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
