CANAL,CLASSIFICACAO_CANAL,CNPJ_PROGRAMADORA,CLASSIFICACAO_PROGRAMADORA,NR_IDENTIFICACAO,OFERTA_CLIENTE,DENSIDADE_CANAL,PAIS_PROGRAMADORA,TIPO_CONTEUDO_CANAL,NOME_PROGRAMADORA,DATA_INICIO_OFERTA
TELECINE ACTION HD,canal de espaço qualificado,00252848000108,programadora brasileira de capital estrangeiro,3930009,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,TELECINE PROGRAMACAO DE FILMES LTDA,2010-11-01
TELECINE CULT,canal de espaço qualificado,00252848000108,programadora brasileira de capital estrangeiro,3930006,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,TELECINE PROGRAMACAO DE FILMES LTDA,2005-11-01
TELECINE CULT HD,canal de espaço qualificado,00252848000108,programadora brasileira de capital estrangeiro,3930014,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,TELECINE PROGRAMACAO DE FILMES LTDA,2012-12-01
TELECINE FUN,canal de espaço qualificado,00252848000108,programadora brasileira de capital estrangeiro,3930004,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,TELECINE PROGRAMACAO DE FILMES LTDA,2010-10-01
TELECINE FUN HD,canal de espaço qualificado,00252848000108,programadora brasileira de capital estrangeiro,3930010,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,TELECINE PROGRAMACAO DE FILMES LTDA,2011-11-01
TELECINE PIPOCA,canal de espaço qualificado,00252848000108,programadora brasileira de capital estrangeiro,3930005,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,TELECINE PROGRAMACAO DE FILMES LTDA,2004-10-01
TELECINE PIPOCA HD,canal de espaço qualificado,00252848000108,programadora brasileira de capital estrangeiro,3930008,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,TELECINE PROGRAMACAO DE FILMES LTDA,2010-01-01
TELECINE PREMIUM,canal de espaço qualificado,00252848000108,programadora brasileira de capital estrangeiro,3930001,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,TELECINE PROGRAMACAO DE FILMES LTDA,2000-10-01
TELECINE PREMIUM HD,canal de espaço qualificado,00252848000108,programadora brasileira de capital estrangeiro,3930007,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,TELECINE PROGRAMACAO DE FILMES LTDA,2009-05-01
TELECINE TOUCH,canal de espaço qualificado,00252848000108,programadora brasileira de capital estrangeiro,3930003,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,TELECINE PROGRAMACAO DE FILMES LTDA,2010-10-01
TELECINE TOUCH HD,canal de espaço qualificado,00252848000108,programadora brasileira de capital estrangeiro,3930011,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,TELECINE PROGRAMACAO DE FILMES LTDA,2011-11-01
TERRA VIVA,canal de programação comum,04334366000158,programadora brasileira,329330010,canal ofertado em pacote,PADRÃO,Brasil,canal de televenda ou infomercial,NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.,2005-06-27
THC - THE HISTORY CHANNEL,canal de espaço qualificado,,programadora estrangeira,2239930001,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo em geral,"HISTORY CHANNEL BRAZIL DISTRIBUTION, LLC",2001-10-01
THC - THE HISTORY CHANNEL HD,canal de espaço qualificado,,programadora estrangeira,2239930002,canal ofertado em pacote,ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo em geral,"HISTORY CHANNEL BRAZIL DISTRIBUTION, LLC",2010-12-01
THINK TV,canal de programação comum,34337977000110,programadora brasileira,4637130001,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de televenda ou infomercial,RCBG LATSCH CANAL DE TELEVISAO LTDA,2019-10-01
TLC,canal de espaço qualificado,,programadora estrangeira,2603930010,canal ofertado em pacote,PADRÃO,Espanha,canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",2011-11-01
TLC HD,canal de espaço qualificado,,programadora estrangeira,2603930017,canal ofertado em pacote,ALTA DEFINIÇÃO,Espanha,canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",2015-03-16
TNT,canal de espaço qualificado,05583971000125,programadora estrangeira,4040330003,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo em geral,"TURNER INTERNATIONAL LATIN AMERICA, INC",1999-09-01
TNT HD,canal de espaço qualificado,05583971000125,programadora estrangeira,4040330015,canal ofertado em pacote,ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo em geral,"TURNER INTERNATIONAL LATIN AMERICA, INC",2009-04-01
TNT NOVELAS HD,canal de espaço qualificado,05583971000125,programadora estrangeira,4040330032,canal ofertado em pacote,ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo em geral,"TURNER INTERNATIONAL LATIN AMERICA, INC",2023-06-26
TNT NOVELAS SD,canal de espaço qualificado,05583971000125,programadora estrangeira,4040330031,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo em geral,"TURNER INTERNATIONAL LATIN AMERICA, INC",2023-06-26
TNT SÉRIES HD,canal de espaço qualificado,05583971000125,programadora estrangeira,4040330018,canal ofertado em pacote,ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo em geral,"TURNER INTERNATIONAL LATIN AMERICA, INC",2015-04-01
TNT SÉRIES SD,canal de espaço qualificado,05583971000125,programadora estrangeira,4040330017,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo em geral,"TURNER INTERNATIONAL LATIN AMERICA, INC",2015-04-01
TOONCAST,canal de espaço qualificado,05583971000125,programadora estrangeira,4040330010,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo infantil e adolescente,"TURNER INTERNATIONAL LATIN AMERICA, INC",2008-12-01
TRACE BRAZUCA,canal de espaço qualificado,35421267000137,programadora estrangeira,4549730001,canal ofertado em pacote,ALTA DEFINIÇÃO,França,canal de conteúdo videomusical,TRACE GLOBAL,2020-07-25
TRADE TV,canal de programação comum,46174704000181,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",5188530001,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de televenda ou infomercial,TRADE TV LTDA,2022-06-05
TRAVEL BOX BRAZIL,canal brasileiro de espaço qualificado,07254174000120,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",474430005,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A,2012-08-20
TRAVEL BOX BRAZIL HD,canal brasileiro de espaço qualificado,07254174000120,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",474430006,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A,2015-07-01
TV AMBIENTAL,canal de programação comum,27329556000182,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",5050530001,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo jornalístico,AVL PRODUÇÕES LTDA,2019-04-08
TV AVIVANDO NAÇÕES,canal de programação comum,42220755000141,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",4936030001,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo religioso,MARCIA MORGANA BEZERRA DA SILVA LUCIANO,2021-06-04
TV BRUSQUE,canal de programação comum,05124438000103,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",4612630001,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,EMPRESA BRUSQUENSE DE COMUNICAÇÃO LTDA.,2002-06-10
TV CARIRI,canal de programação comum,20123556000182,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",4097030001,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,TV DO CARIRI LTDA,2019-08-22
TV CENTRO SUL,canal de programação comum,31248895000101,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",4447330001,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,SISTEMA VOZ CENTRO SUL LTDA,2019-05-03
TV CIDADE CANAL 9 - TERESÓPOLIS,canal de programação comum,30918049000199,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",1409130001,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,RGS PUBLICIDADE EIRELI,2002-09-07
TV CIDADE OESTE,canal de programação comum,11244074000190,programadora brasileira,3872330001,"canal ofertado em pacote, canal à la carte",PADRÃO,Brasil,canal de conteúdo em geral,TV CIDADE OESTE LTDA,2018-02-01
TV DIÁRIO DO SERTÃO,canal de programação comum,11694678000138,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",3990330001,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo jornalístico,SISTEMA DE COMUNICACAO DIARIO LTDA,2018-08-01
TV ERECHIM,canal de programação comum,10335427000102,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",1738230001,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,LD PRODUÇÕES PUBLICITARIAS LTDA,2008-08-04
TV GAZETA RN,canal de programação comum,19924934000148,,2698130001,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,TELEVISÃO RIO GRANDE DO NORTE EIRELI,2015-08-10
TV GUIA LOCAL,canal de programação comum,07031220000121,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",1705030001,canal ofertado em pacote,PADRÃO,Brasil,canal de televenda ou infomercial,V.B. MOTER PRODUÇÕES DE VIDEO,2007-01-01
TV JAGUAR,canal de programação comum,10489198000172,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",4948430001,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,R. LOPES DA COSTA AMARAL,2021-09-20
TV JAGUÁ NEWS,canal de programação comum,29284918000191,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",5285530001,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,SM BRASIL DE COMUNICACAO LTDA,2023-01-18
TV KURTIÇÃO,canal de programação comum,07651720000166,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",3891730001,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,QUEIROGA & MEDEIROS LTDA - ME,2019-08-14
TV METROPOLITANO,canal de programação comum,17845847000170,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",2403330001,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,TELEVISÃO METROPOLITANO EIRELI,2013-06-01
TV NORDESTINA,canal de programação comum,17392307000188,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",4457730001,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,JOSE ABILIO FELIX DE FIGUEIREDO,2019-12-01
TV OOPS,canal de programação comum,27170742000111,programadora brasileira,4260630001,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,TNC SISTEMAS DE TELECOMUNICAÇÕES LTDA,2018-01-01
TV OTIMISTA,canal de programação comum,02553273000199,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",4626830001,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,O OTIMISTA SERVICO DE COMUNICACAO EIRELI,2020-10-18
TV PADRE CICERO,canal de programação comum,04175120000180,,3880930001,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,FUNDACÃO PADRE CÍCERO DE TELEVISÃO,2018-01-09
TV PASSO FUNDO,canal de programação comum,02780144000133,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",1315730001,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,FERNANDO BERTOQUE DOS SANTOS-ME,2005-11-03
TV RÁ TIM BUM HD,canal brasileiro de espaço qualificado,61914891000186,programadora brasileira independente,112530002,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo infantil e adolescente,FUND PE ANCHIETA CENTRO PAULISTA RADIO E TV EDUCATIVAS,2016-12-19
TV RÁ TIM BUM!,canal brasileiro de espaço qualificado,61914891000186,programadora brasileira independente,112530001,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo infantil e adolescente,FUND PE ANCHIETA CENTRO PAULISTA RADIO E TV EDUCATIVAS,2004-12-12
TV SUPREN,canal de programação comum,02755157000152,,461930001,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,UNIÃO PLANETÁRIA,2007-12-01
TV UNIÃO DE NATAL,canal de programação comum,01884833000125,programadora brasileira independente,2246830001,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,WMW ENTRETENIMENTO LTDA,2003-03-31
TV5 MONDE,canal não adaptado ao mercado brasileiro,,programadora estrangeira,626930001,"canal ofertado em pacote, canal à la carte",PADRÃO,França,canal de conteúdo em geral,TV5 MONDE,1996-04-15
TVI,canal de programação comum,08594668000116,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",1761830001,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,AÇÃO PROGRAMADORA DE CANAIS INDEPENDENTES LTDA - ME,2005-01-17
TVMASTER,canal de programação comum,45813358000171,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",5698730001,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,MIDIA COMUNICAÇÃO E PROGRAMAÇÃO LTDA,2022-05-31
UNIVERSAL PREMIERE,canal de espaço qualificado,,programadora estrangeira,5086130003,"canal ofertado em pacote, canal à la carte",ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo em geral,"NBC UNIVERSAL GLOBAL NETWORKS LATIN AMERICA, LLC",2023-12-15
UNIVERSAL REALITY,canal de espaço qualificado,,programadora estrangeira,5086130004,"canal ofertado em pacote, canal à la carte",ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo em geral,"NBC UNIVERSAL GLOBAL NETWORKS LATIN AMERICA, LLC",2023-12-15
UNIVERSAL TV,canal de espaço qualificado,01253766000140,programadora brasileira de capital estrangeiro,4430001,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,NBCUNIVERSAL NETWORKS INTERNATIONAL BRASIL PROGRAMADORA S/A,1996-05-10
UNIVERSAL TV HD,canal de espaço qualificado,01253766000140,programadora brasileira de capital estrangeiro,4430004,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,NBCUNIVERSAL NETWORKS INTERNATIONAL BRASIL PROGRAMADORA S/A,2013-07-01
USA NETWORK,canal de espaço qualificado,01253766000140,programadora brasileira de capital estrangeiro,4430003,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,NBCUNIVERSAL NETWORKS INTERNATIONAL BRASIL PROGRAMADORA S/A,2012-05-11
USA NETWORK HD,canal de espaço qualificado,01253766000140,programadora brasileira de capital estrangeiro,4430006,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,NBCUNIVERSAL NETWORKS INTERNATIONAL BRASIL PROGRAMADORA S/A,2017-04-15
VENUS,canal de programação comum,08844841000197,programadora brasileira de capital estrangeiro,1326330004,"canal à la carte, pay-per-view",PADRÃO,Brasil,canal de conteúdo erótico,PB BRASIL ENTRETENIMENTO S/A,2008-12-10
VH1 HD,canal não adaptado ao mercado brasileiro,,programadora estrangeira,620930006,canal ofertado em pacote,ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo videomusical,MTV NETWORKS LATIN AMERICA INC.,2009-12-01
VH1 MEGAHITS,canal não adaptado ao mercado brasileiro,,programadora estrangeira,620930005,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo videomusical,MTV NETWORKS LATIN AMERICA INC.,2010-01-31
VINTV,canal de programação comum,22855801000171,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",4257730001,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,SERTÃO & MAR COMUNICAÇÕES LTDA,2019-01-01
VIVA,canal de espaço qualificado,27865757000102,programadora brasileira independente,472730120,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
VIVA HD,canal de espaço qualificado,27865757000102,programadora brasileira independente,472730022,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
WARNER CHANNEL,canal de espaço qualificado,05583971000125,programadora estrangeira,4040330029,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo em geral,"TURNER INTERNATIONAL LATIN AMERICA, INC",1996-11-01
WARNER CHANNEL HD,canal de espaço qualificado,05583971000125,programadora estrangeira,4040330030,canal ofertado em pacote,ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo em geral,"TURNER INTERNATIONAL LATIN AMERICA, INC",1996-11-01
WOOHOO,canal brasileiro de espaço qualificado,07906636000146,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",2122930001,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,NOVAS MIDIAS DIGITAIS PROGRAMADORA LTDA,2006-05-22
WOOHOO HD,canal brasileiro de espaço qualificado,07906636000146,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",2122930002,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,NOVAS MIDIAS DIGITAIS PROGRAMADORA LTDA,2017-11-30
ZOOMOO KIDS,canal de espaço qualificado,,programadora estrangeira,4705730001,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo infantil e adolescente,STENNA INTERNATIONAL LLC,2020-11-10
ZOOMOO KIDS (HD),canal de espaço qualificado,,programadora estrangeira,4705730002,canal ofertado em pacote,ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo infantil e adolescente,STENNA INTERNATIONAL LLC,2020-11-10
ÓTV,canal de programação comum,09517512000102,programadora brasileira,2194630001,"canal ofertado em pacote, canal à la carte",PADRÃO,Brasil,canal de conteúdo em geral,RPC MIDIA LTDA,2011-04-19
